ablation_type,ablation_percentage,micro_f1,micro_f1_std,macro_f1,macro_f1_std,samples_f1,samples_f1_std,jaccard_samples,jaccard_samples_std,hamming_loss,hamming_loss_std,micro_accuracy,micro_accuracy_std,auroc,auroc_std,micro_f1_degradation,macro_f1_degradation,samples_f1_degradation,jaccard_samples_degradation,hamming_loss_degradation,micro_accuracy_degradation,auroc_degradation
MLP Ablation,0.1,0.4400209210002789,0.004238759187681554,0.3087266520949393,0.0045182545576802225,0.4248934223981222,0.005317143168535644,0.2952014924625768,0.0051386736232059,0.05308431889730282,0.0015848980163635697,0.025048923679060663,0.003031689507794455,0.8641430620662849,0.0010613384315987678,-0.0006965939479491867,-0.009524258587402357,-0.004191689732938375,-0.0024305195891973774,-0.0012989591310020102,0.0015655577299412901,-0.0039769406498118
MLP Ablation,0.2,0.4327598596114967,0.003831807092324184,0.2947710253470138,0.009764281761395363,0.41690683078608304,0.004998862545968895,0.28846388850589844,0.004495526280655417,0.05305312118891631,0.0010178114539526515,0.024070450097847355,0.0026174041288635195,0.8594363094459594,0.0023161634649593475,-0.007957655336731373,-0.023479885335327855,-0.01217828134497756,-0.009168123545875762,-0.001330156839388523,0.0005870841487279829,-0.008683693270137294
MLP Ablation,0.3,0.425093930708495,0.007270135588792577,0.27491430600575434,0.011389834851982318,0.4104305309834174,0.006952814710564315,0.2832682821806322,0.005654122598459327,0.05233557389602654,0.001858423693756476,0.023679060665362035,0.0017134932206867182,0.8543838386444698,0.005532118253048322,-0.01562358423973309,-0.04333660467658734,-0.01865458114764318,-0.014363729871141984,-0.00204770413227829,0.00019569471624266213,-0.013736164071626922
MLP Ablation,0.4,0.4121206909001625,0.005523164356375149,0.24084518275302041,0.013594218065402277,0.39710700547570965,0.0050823136868890515,0.2731132393296417,0.004215330959175483,0.051578320428826686,0.001827955329590498,0.023874755381604697,0.003666919588403182,0.8446750358804846,0.005412208118357657,-0.028596824048065572,-0.07740572792932127,-0.031978106655350946,-0.024518772722132487,-0.0028049575994781445,0.00039138943248532426,-0.023444966835612036
MLP Ablation,0.5,0.3937848594657162,0.009679878712753576,0.2146166136506459,0.021744535333789825,0.3805841377570919,0.009515472919264892,0.25845585330254583,0.00801641291986987,0.055150458039082216,0.0027430218829006744,0.020743639921722113,0.005550436369519281,0.837876748202223,0.006449199054000853,-0.04693265548251191,-0.10363429703169577,-0.04850097437396872,-0.03917615874922836,0.0007671800107773852,-0.0027397260273972594,-0.030243254513873663
MLP Ablation,0.6,0.376948030550682,0.01847642549635295,0.1785790625284181,0.027438474030153252,0.36746861842854167,0.01699704467559824,0.2496952387227253,0.013942525342822046,0.05589920304035849,0.003788556045952431,0.025440313111545987,0.0049678885230684325,0.826632260362947,0.009176558773632718,-0.0637694843975461,-0.13967184815392358,-0.061616493702518926,-0.04793677332904889,0.001515925012053658,0.0019569471624266144,-0.04148774235314967
MLP Ablation,0.7,0.35945538051883863,0.014455398577599976,0.15209316993822108,0.01815634416264503,0.34886245955685785,0.01323942009458129,0.2346768588465195,0.011055413190010757,0.05670892538075385,0.0037789219689432193,0.022504892367906065,0.004989255884141668,0.8119959259800617,0.01022562154208189,-0.08126213442938945,-0.1661577407441206,-0.08022265257420275,-0.06295515320525469,0.0023256473524490215,-0.0009784735812133072,-0.05612407673603503
MLP Ablation,0.8,0.3458275176821079,0.015785484072634103,0.1266608674009755,0.017868580411200513,0.3354693556424885,0.016034666599561112,0.2247422699263244,0.012662960663607,0.056293428628151676,0.0031979392639562444,0.020743639921722113,0.005315472612514902,0.796980658288738,0.010742553588726436,-0.09488999726612019,-0.19159004328136617,-0.09361575648857212,-0.0728897421254498,0.0019101505998468452,-0.0027397260273972594,-0.0711393444273587
MLP Ablation,0.9,0.3327319498368848,0.007154323497734002,0.11020551057695219,0.010653260395571067,0.32417101540956134,0.007215777985532474,0.21739100123708827,0.005383005306613467,0.05656711761536062,0.003342628255942278,0.024657534246575342,0.0033516588594038168,0.783019176657592,0.006679946551873337,-0.10798556511134327,-0.2080454001053895,-0.10491409672149926,-0.08024101081468593,0.002183839587055786,0.0011741682974559693,-0.08510082605850466
MLP Ablation,1.0,0.32790776534418453,5.851389114294502e-17,0.10141255044213285,1.4628472785736255e-17,0.32067649791928077,5.851389114294502e-17,0.21588338230810647,0.0,0.05621259820187754,0.0,0.0273972602739726,0.0,0.7725149905559671,0.0,-0.11280974960404355,-0.21683836024020883,-0.10840861421177983,-0.08174862974366773,0.0018293201735727072,0.003913894324853229,-0.09560501216012962
