label,precision,recall,f1,support,frequency
vanilla,0.3181818181818182,0.6363636363636364,0.42424242424242425,11,0.02263374485596708
winey,0.3181818181818182,0.6363636363636364,0.42424242424242425,22,0.04526748971193416
herbal,0.3197278911564626,0.618421052631579,0.42152466367713004,76,0.15637860082304528
savory,0.34782608695652173,0.5333333333333333,0.42105263157894735,15,0.030864197530864196
rose,0.3142857142857143,0.6111111111111112,0.41509433962264153,36,0.07407407407407407
orange,0.3157894736842105,0.6,0.41379310344827586,10,0.0205761316872428
fishy,0.3333333333333333,0.5,0.4,8,0.01646090534979424
buttery,0.34782608695652173,0.47058823529411764,0.4,17,0.03497942386831276
cooling,0.42857142857142855,0.375,0.4,8,0.01646090534979424
banana,0.2903225806451613,0.6428571428571429,0.4,14,0.02880658436213992
anisic,0.3125,0.5555555555555556,0.4,9,0.018518518518518517
terpenic,0.4,0.4,0.4,5,0.0102880658436214
sweaty,0.3333333333333333,0.5,0.4,4,0.00823045267489712
cinnamon,0.2857142857142857,0.5714285714285714,0.38095238095238093,7,0.01440329218106996
pear,0.27586206896551724,0.6153846153846154,0.38095238095238093,13,0.026748971193415638
vegetable,0.2857142857142857,0.5714285714285714,0.38095238095238093,28,0.05761316872427984
balsamic,0.27692307692307694,0.5806451612903226,0.375,31,0.06378600823045268
smoky,0.3333333333333333,0.42857142857142855,0.375,7,0.01440329218106996
grape,0.5,0.3,0.375,10,0.0205761316872428
hazelnut,0.2727272727272727,0.6,0.375,5,0.0102880658436214
tropical,0.27848101265822783,0.55,0.3697478991596639,40,0.0823045267489712
hawthorn,0.3333333333333333,0.4,0.36363636363636365,5,0.0102880658436214
spicy,0.2647058823529412,0.5625,0.36,48,0.09876543209876543
fresh,0.25396825396825395,0.5925925925925926,0.35555555555555557,54,0.1111111111111111
sharp,0.3333333333333333,0.36363636363636365,0.34782608695652173,11,0.02263374485596708
cabbage,0.2857142857142857,0.4,0.3333333333333333,5,0.0102880658436214
burnt,0.25,0.5,0.3333333333333333,22,0.04526748971193416
cedar,0.23076923076923078,0.6,0.3333333333333333,5,0.0102880658436214
apricot,0.3333333333333333,0.3333333333333333,0.3333333333333333,9,0.018518518518518517
coffee,0.2857142857142857,0.36363636363636365,0.32,11,0.02263374485596708
lactonic,0.25,0.42857142857142855,0.3157894736842105,7,0.01440329218106996
dairy,0.2631578947368421,0.38461538461538464,0.3125,13,0.026748971193415638
dry,0.35714285714285715,0.2777777777777778,0.3125,18,0.037037037037037035
rummy,0.23529411764705882,0.4444444444444444,0.3076923076923077,9,0.018518518518518517
violet,0.3333333333333333,0.2857142857142857,0.3076923076923077,7,0.01440329218106996
creamy,0.24242424242424243,0.42105263157894735,0.3076923076923077,19,0.03909465020576132
milky,0.25,0.3333333333333333,0.2857142857142857,9,0.018518518518518517
amber,0.23529411764705882,0.36363636363636365,0.2857142857142857,11,0.02263374485596708
mushroom,0.375,0.23076923076923078,0.2857142857142857,13,0.026748971193415638
potato,0.2222222222222222,0.3333333333333333,0.26666666666666666,6,0.012345679012345678
ripe,0.19047619047619047,0.4444444444444444,0.26666666666666666,9,0.018518518518518517
earthy,0.20634920634920634,0.37142857142857144,0.2653061224489796,35,0.0720164609053498
jasmin,0.23076923076923078,0.3,0.2608695652173913,10,0.0205761316872428
hyacinth,0.2222222222222222,0.2857142857142857,0.25,7,0.01440329218106996
