label,precision,recall,f1,support,frequency
mushroom,0.6666666666666666,0.4,0.5,10.0,0.019569471
nutty,0.4375,0.5675675675675675,0.49411764705882355,37.0,0.072407044
phenolic,0.4166666666666667,0.5555555555555556,0.47619047619047616,18.0,0.03522505
peach,0.45454545454545453,0.5,0.47619047619047616,10.0,0.019569471
balsamic,0.3559322033898305,0.7,0.47191011235955055,30.0,0.058708414
smoky,0.4,0.5714285714285714,0.47058823529411764,7.0,0.01369863
ketonic,0.3333333333333333,0.8,0.47058823529411764,5.0,0.009784736
grapefruit,0.4,0.5714285714285714,0.47058823529411764,7.0,0.01369863
caramellic,0.36585365853658536,0.6521739130434783,0.46875,23.0,0.045009784
rose,0.3835616438356164,0.5957446808510638,0.4666666666666667,47.0,0.091976516
black currant,0.3333333333333333,0.75,0.46153846153846156,4.0,0.007827789
hazelnut,0.375,0.6,0.46153846153846156,5.0,0.009784736
coffee,0.3333333333333333,0.7272727272727273,0.45714285714285713,11.0,0.021526419
aldehydic,0.38095238095238093,0.5714285714285714,0.45714285714285713,14.0,0.02739726
banana,0.3225806451612903,0.7692307692307693,0.45454545454545453,13.0,0.025440313
winey,0.34,0.6538461538461539,0.4473684210526316,26.0,0.050880626
oily,0.359375,0.5897435897435898,0.44660194174757284,39.0,0.07632094
clove,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0,0.0058708414
waxy,0.3177570093457944,0.6938775510204082,0.4358974358974359,49.0,0.09589041
pineapple,0.3125,0.7142857142857143,0.43478260869565216,21.0,0.04109589
beefy,0.3,0.75,0.42857142857142855,4.0,0.007827789
cognac,0.3181818181818182,0.6363636363636364,0.42424242424242425,11.0,0.021526419
anisic,0.3125,0.5555555555555556,0.4,9.0,0.017612524
spicy,0.30952380952380953,0.5652173913043478,0.4,46.0,0.09001957
herbal,0.27624309392265195,0.625,0.3831417624521073,80.0,0.15655577
creamy,0.32142857142857145,0.47368421052631576,0.3829787234042553,19.0,0.037181996
buttery,0.2857142857142857,0.5714285714285714,0.38095238095238093,14.0,0.02739726
apple,0.28125,0.5806451612903226,0.37894736842105264,31.0,0.06066536
vegetable,0.29411764705882354,0.5172413793103449,0.375,29.0,0.056751467
coumarinic,0.3,0.5,0.375,6.0,0.011741683
cocoa,0.3,0.5,0.375,12.0,0.023483366
tobacco,0.38461538461538464,0.35714285714285715,0.37037037037037035,14.0,0.02739726
alliaceous,0.25806451612903225,0.6153846153846154,0.36363636363636365,13.0,0.025440313
lemon,0.2857142857142857,0.5,0.36363636363636365,8.0,0.015655577
fermented,0.3333333333333333,0.4,0.36363636363636365,15.0,0.029354207
tropical,0.26506024096385544,0.5641025641025641,0.36065573770491804,39.0,0.07632094
fresh,0.256,0.6037735849056604,0.3595505617977528,53.0,0.1037182
metallic,0.3333333333333333,0.38461538461538464,0.35714285714285715,13.0,0.025440313
grape,0.375,0.3333333333333333,0.35294117647058826,9.0,0.017612524
rummy,0.375,0.3333333333333333,0.35294117647058826,9.0,0.017612524
jasmin,0.3076923076923077,0.4,0.34782608695652173,10.0,0.019569471
orange,0.2631578947368421,0.5,0.3448275862068966,10.0,0.019569471
mint,0.2553191489361702,0.5217391304347826,0.34285714285714286,23.0,0.045009784
melon,0.2727272727272727,0.46153846153846156,0.34285714285714286,13.0,0.025440313
honey,0.24324324324324326,0.5625,0.33962264150943394,16.0,0.031311154
brandy,0.25,0.5,0.3333333333333333,4.0,0.007827789
dairy,0.2777777777777778,0.4166666666666667,0.3333333333333333,12.0,0.023483366
cheesy,0.27586206896551724,0.42105263157894735,0.3333333333333333,19.0,0.037181996
geranium,0.21052631578947367,0.6666666666666666,0.32,6.0,0.011741683
earthy,0.3333333333333333,0.2727272727272727,0.3,33.0,0.064579256
medicinal,0.23076923076923078,0.42857142857142855,0.3,7.0,0.01369863
orris,0.21428571428571427,0.5,0.3,6.0,0.011741683
coconut,0.2222222222222222,0.4444444444444444,0.2962962962962963,9.0,0.017612524
potato,0.25,0.3333333333333333,0.2857142857142857,6.0,0.011741683
violet,0.21428571428571427,0.42857142857142855,0.2857142857142857,7.0,0.01369863
bergamot,0.18181818181818182,0.6666666666666666,0.2857142857142857,3.0,0.0058708414
muguet,0.25,0.3333333333333333,0.2857142857142857,6.0,0.011741683
pear,0.18421052631578946,0.5384615384615384,0.27450980392156865,13.0,0.025440313
dry,0.3076923076923077,0.23529411764705882,0.26666666666666666,17.0,0.0332681
