label,precision,recall,f1,support,frequency
cabbage,0.2727272727272727,0.6,0.375,5.0,0.009784736
grapefruit,0.3333333333333333,0.42857142857142855,0.375,7.0,0.01369863
honey,0.24324324324324326,0.5625,0.33962264150943394,16.0,0.031311154
violet,0.4,0.2857142857142857,0.3333333333333333,7.0,0.01369863
sweaty,0.5,0.25,0.3333333333333333,4.0,0.007827789
fruit skin,1.0,0.2,0.3333333333333333,5.0,0.009784736
apricot,0.3,0.375,0.3333333333333333,8.0,0.015655577
dairy,0.3333333333333333,0.3333333333333333,0.3333333333333333,12.0,0.023483366
ripe,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.0,0.017612524
buttery,0.3125,0.35714285714285715,0.3333333333333333,14.0,0.02739726
brandy,0.5,0.25,0.3333333333333333,4.0,0.007827789
camphoreous,0.29411764705882354,0.38461538461538464,0.3333333333333333,13.0,0.025440313
leathery,1.0,0.2,0.3333333333333333,5.0,0.009784736
tropical,0.23809523809523808,0.5128205128205128,0.3252032520325203,39.0,0.07632094
pear,0.21875,0.5384615384615384,0.3111111111111111,13.0,0.025440313
fresh,0.24210526315789474,0.4339622641509434,0.3108108108108108,53.0,0.1037182
alliaceous,0.23076923076923078,0.46153846153846156,0.3076923076923077,13.0,0.025440313
savory,0.23076923076923078,0.46153846153846156,0.3076923076923077,13.0,0.025440313
mint,0.2222222222222222,0.43478260869565216,0.29411764705882354,23.0,0.045009784
grape,0.25,0.3333333333333333,0.2857142857142857,9.0,0.017612524
potato,0.25,0.3333333333333333,0.2857142857142857,6.0,0.011741683
vetiver,0.3333333333333333,0.25,0.2857142857142857,4.0,0.007827789
cooling,0.3333333333333333,0.25,0.2857142857142857,8.0,0.015655577
solvent,0.25,0.3333333333333333,0.2857142857142857,6.0,0.011741683
lactonic,0.2857142857142857,0.2857142857142857,0.2857142857142857,7.0,0.01369863
sour,0.2857142857142857,0.2857142857142857,0.2857142857142857,7.0,0.01369863
dry,0.36363636363636365,0.23529411764705882,0.2857142857142857,17.0,0.0332681
jasmin,0.4,0.2,0.26666666666666666,10.0,0.019569471
mushroom,0.4,0.2,0.26666666666666666,10.0,0.019569471
plum,0.5,0.16666666666666666,0.25,6.0,0.011741683
black currant,0.25,0.25,0.25,4.0,0.007827789
tobacco,0.3,0.21428571428571427,0.25,14.0,0.02739726
cortex,0.5,0.16666666666666666,0.25,6.0,0.011741683
metallic,0.6666666666666666,0.15384615384615385,0.25,13.0,0.025440313
grassy,0.5,0.16666666666666666,0.25,6.0,0.011741683
pungent,0.21428571428571427,0.3,0.25,20.0,0.039138943
animal,0.4,0.16666666666666666,0.23529411764705882,12.0,0.023483366
milky,0.25,0.2222222222222222,0.23529411764705882,9.0,0.017612524
orangeflower,0.16666666666666666,0.3333333333333333,0.2222222222222222,3.0,0.0058708414
bergamot,0.16666666666666666,0.3333333333333333,0.2222222222222222,3.0,0.0058708414
cedar,0.2,0.2,0.2,5.0,0.009784736
sharp,0.2,0.2,0.2,10.0,0.019569471
radish,0.25,0.16666666666666666,0.2,6.0,0.011741683
tomato,0.16666666666666666,0.25,0.2,4.0,0.007827789
lavender,0.16666666666666666,0.25,0.2,4.0,0.007827789
cherry,0.15384615384615385,0.25,0.19047619047619047,8.0,0.015655577
burnt,0.16,0.21052631578947367,0.18181818181818182,19.0,0.037181996
natural,0.3333333333333333,0.125,0.18181818181818182,8.0,0.015655577
geranium,0.2,0.16666666666666666,0.18181818181818182,6.0,0.011741683
orris,0.2,0.16666666666666666,0.18181818181818182,6.0,0.011741683
leafy,0.2222222222222222,0.14285714285714285,0.17391304347826086,14.0,0.02739726
musty,0.2,0.15,0.17142857142857143,20.0,0.039138943
terpenic,0.14285714285714285,0.2,0.16666666666666666,5.0,0.009784736
