layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
Embedding,0.0,0.03571428571428571,0.23529411764705882,0.05555555555555555,0.0,0.04838709677419355,0.0,0.12093023255813953,0.0,0.0,0.2994011976047904,0.0,0.0,0.0,0.0622568093385214,0.05504587155963303,0.0,0.0,0.11515151515151516,0.046153846153846156,0.0425531914893617,0.0,0.14746543778801843,0.0,0.0,0.0,0.11515151515151516,0.0,0.057971014492753624,0.0,0.14559386973180077,0.0,0.0,0.12,0.0,0.0,0.0,0.02696629213483146,0.0,0.018691588785046728,0.0,0.05925925925925926,0.17391304347826086,0.05,0.06576402321083172,0.12222222222222222,0.11538461538461539,0.21015761821366025,0.0,0.024539877300613498,0.361247947454844,0.1881918819188192,0.02666666666666667,0.5726256983240223,0.0,0.0,0.0,0.03468208092485549,0.016,0.022222222222222223,0.46616541353383456,0.0,0.0,0.0,0.27586206896551724,0.06310679611650485,0.0,0.0,0.024691358024691357,0.0,0.0,0.0,0.06806282722513089,0.0,0.0,0.0,0.0,0.11173184357541899,0.12903225806451613,0.05741626794258373,0.06282722513089005,0.0,0.0,0.0,0.0,0.0449438202247191,0.07722007722007722,0.0,0.13503649635036497,0.38961038961038963,0.14338235294117646,0.2413793103448276,0.015748031496062992,0.017167381974248927,0.0,0.0,0.0,0.09210526315789473,0.20833333333333334,0.0,0.12290502793296089,0.0,0.0,0.0,0.13114754098360656,0.13592233009708737,0.0,0.0,0.058823529411764705,0.11567164179104478,0.0,0.07272727272727272,0.0,0.052313883299798795,0.03592814371257485,0.0,0.0,0.0,0.06349206349206349,0.17590822179732313,0.0,0.47761194029850745,0.0,0.46546546546546547,0.0,0.0,0.032,0.027522935779816515,0.14233576642335766,0.10526315789473684,0.10902255639097744,0.0,0.0,0.0,0.183206106870229,0.0,0.14035087719298245,0.2423146473779385
1,0.0,0.0,0.0,0.0,0.18421052631578946,0.12612612612612611,0.06896551724137931,0.22346368715083798,0.0,0.0,0.3835616438356164,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.12121212121212122,0.208955223880597,0.07874015748031496,0.18181818181818182,0.11267605633802817,0.1254355400696864,0.0,0.0,0.0,0.1702127659574468,0.0,0.12121212121212122,0.0,0.17543859649122806,0.0,0.0,0.07407407407407407,0.0,0.15384615384615385,0.0,0.0,0.14285714285714285,0.0,0.25,0.09836065573770492,0.0,0.046511627906976744,0.0,0.14814814814814814,0.2698412698412698,0.3744292237442922,0.0,0.0,0.4,0.18831168831168832,0.0,0.5742296918767507,0.0,0.0,0.0,0.0,0.0,0.1,0.4797507788161994,0.0,0.0,0.0,0.2851919561243144,0.10810810810810811,0.0,0.1,0.0,0.0,0.0,0.0,0.0851063829787234,0.2,0.0,0.0,0.0,0.29473684210526313,0.125,0.08695652173913043,0.0,0.0,0.12549019607843137,0.0,0.0,0.208955223880597,0.09565217391304348,0.03571428571428571,0.15384615384615385,0.5,0.313953488372093,0.23076923076923078,0.0,0.1,0.09836065573770492,0.0,0.13793103448275862,0.0,0.2727272727272727,0.0,0.06349206349206349,0.09523809523809523,0.0,0.14285714285714285,0.058823529411764705,0.18666666666666668,0.0,0.125,0.0,0.3125,0.14545454545454545,0.15384615384615385,0.0,0.0,0.06779661016949153,0.18181818181818182,0.0,0.2222222222222222,0.12,0.2222222222222222,0.0,0.5352112676056338,0.0,0.4666666666666667,0.0,0.0,0.09090909090909091,0.0,0.19047619047619047,0.28,0.2988505747126437,0.0,0.15,0.0,0.42857142857142855,0.0,0.125,0.29396325459317585
2,0.5454545454545454,0.16666666666666666,0.2631578947368421,0.07692307692307693,0.27906976744186046,0.19607843137254902,0.2702702702702703,0.2727272727272727,0.2222222222222222,0.0,0.2748091603053435,0.3333333333333333,0.0,0.3333333333333333,0.09917355371900827,0.0,0.13333333333333333,0.2222222222222222,0.21333333333333335,0.0967741935483871,0.125,0.23076923076923078,0.19393939393939394,0.5454545454545454,0.0,0.2222222222222222,0.25806451612903225,0.13333333333333333,0.16326530612244897,0.3157894736842105,0.22807017543859648,0.0,0.4,0.21428571428571427,0.2857142857142857,0.4186046511627907,0.42105263157894735,0.0,0.15,0.0,0.0,0.2391304347826087,0.6,0.18181818181818182,0.2608695652173913,0.18518518518518517,0.3853211009174312,0.45918367346938777,0.1875,0.0,0.4681933842239186,0.1871345029239766,0.0,0.5815602836879432,0.4444444444444444,0.0,0.0,0.14925373134328357,0.25,0.13333333333333333,0.49230769230769234,0.0,0.0,0.3076923076923077,0.2993492407809111,0.3,0.0,0.11764705882352941,0.0,0.23529411764705882,0.18181818181818182,0.0,0.17647058823529413,0.2857142857142857,0.0,0.13333333333333333,0.0,0.3609022556390977,0.0625,0.16666666666666666,0.2222222222222222,0.14285714285714285,0.1897810218978102,0.0,0.0,0.3684210526315789,0.12698412698412698,0.08,0.24413145539906103,0.7567567567567568,0.3048780487804878,0.5357142857142857,0.18181818181818182,0.4,0.14814814814814814,0.0,0.1724137931034483,0.0,0.3333333333333333,0.4,0.23076923076923078,0.2222222222222222,0.6,0.23529411764705882,0.10752688172043011,0.23076923076923078,0.0,0.10526315789473684,0.16,0.464,0.3007518796992481,0.24,0.5,0.26666666666666666,0.125,0.3,0.0,0.36363636363636365,0.13333333333333333,0.312,0.13333333333333333,0.6201550387596899,0.0,0.4807692307692308,0.0,0.14285714285714285,0.16901408450704225,0.0,0.2140468227424749,0.4,0.2909090909090909,0.2,0.14814814814814814,0.08695652173913043,0.4645161290322581,0.0,0.22784810126582278,0.4380165289256198
3,0.782608695652174,0.47368421052631576,0.3076923076923077,0.11764705882352941,0.6153846153846154,0.2222222222222222,0.37037037037037035,0.3893805309734513,0.2608695652173913,0.0,0.4144144144144144,0.375,0.4444444444444444,0.2,0.0,0.0,0.2222222222222222,0.3333333333333333,0.18181818181818182,0.3125,0.35294117647058826,0.3333333333333333,0.3793103448275862,0.36363636363636365,0.4,0.5,0.4090909090909091,0.18181818181818182,0.2,0.42857142857142855,0.52,0.0,0.5714285714285714,0.43478260869565216,0.34782608695652173,0.46153846153846156,0.45,0.2,0.26666666666666666,0.25,0.42857142857142855,0.46153846153846156,0.6153846153846154,0.37037037037037035,0.3333333333333333,0.35135135135135137,0.5287356321839081,0.5517241379310345,0.24242424242424243,0.5714285714285714,0.5122615803814714,0.3125,0.2222222222222222,0.6521739130434783,0.5,0.0,0.18181818181818182,0.34782608695652173,0.375,0.25,0.5551330798479087,0.0,0.0,0.4,0.4043321299638989,0.32727272727272727,0.0,0.35294117647058826,0.0,0.4,0.2857142857142857,0.2,0.14814814814814814,0.5714285714285714,0.14285714285714285,0.125,0.0,0.5434782608695652,0.14285714285714285,0.3870967741935484,0.25,0.23529411764705882,0.2857142857142857,0.0,0.3333333333333333,0.6666666666666666,0.15789473684210525,0.18181818181818182,0.40425531914893614,0.8292682926829268,0.3793103448275862,0.5423728813559322,0.38461538461538464,0.2222222222222222,0.16666666666666666,0.0,0.4,0.2916666666666667,0.4489795918367347,0.4,0.39473684210526316,0.25,0.6,0.26666666666666666,0.1,0.27450980392156865,0.2,0.0,0.34782608695652173,0.5652173913043478,0.41935483870967744,0.38095238095238093,0.4,0.3076923076923077,0.2,0.5333333333333333,0.0,0.26666666666666666,0.2857142857142857,0.38848920863309355,0.0,0.76,0.3333333333333333,0.5,0.0,0.15384615384615385,0.3076923076923077,0.2,0.32558139534883723,0.37037037037037035,0.36363636363636365,0.2857142857142857,0.3076923076923077,0.0,0.44285714285714284,0.0,0.42105263157894735,0.5824175824175825
