layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
Embedding,0.0421455938697318,0.05333333333333334,0.04961832061068702,0.03461538461538462,0.045889101338432124,0.04678362573099415,0.03495145631067961,0.11439114391143912,0.031007751937984496,0.030828516377649325,0.11090573012939002,0.04961832061068702,0.015533980582524271,0.01284796573875803,0.06072106261859583,0.02321083172147002,0.0,0.015533980582524271,0.07169811320754717,0.05333333333333334,0.0196078431372549,0.04961832061068702,0.08614232209737828,0.01937984496124031,0.015533980582524271,0.011673151750972763,0.07169811320754717,0.030828516377649325,0.025,0.02702702702702703,0.1384335154826958,0.03838771593090211,0.011673151750972763,0.05010438413361169,0.03461538461538462,0.04417670682730924,0.0421455938697318,0.03461538461538462,0.030828516377649325,0.02321083172147002,0.0234375,0.07169811320754717,0.01937984496124031,0.045889101338432124,0.06439393939393939,0.1213235294117647,0.11090573012939002,0.21015761821366025,0.057034220532319393,0.030828516377649325,0.35426731078904994,0.1879432624113475,0.01937984496124031,0.5726256983240223,0.045889101338432124,0.015533980582524271,0.02321083172147002,0.03461538461538462,0.027944111776447105,0.023255813953488372,0.46546546546546547,0.0,0.02702702702702703,0.01996007984031936,0.2707275803722504,0.06072106261859583,0.02321083172147002,0.03838771593090211,0.01937984496124031,0.01937984496124031,0.02702702702702703,0.015533980582524271,0.05333333333333334,0.0196078431372549,0.031007751937984496,0.02702702702702703,0.011695906432748537,0.11090573012939002,0.02702702702702703,0.04961832061068702,0.04961832061068702,0.03461538461538462,0.08614232209737828,0.02321083172147002,0.03838771593090211,0.05045871559633028,0.07532956685499058,0.03088803088803089,0.13503649635036497,0.07532956685499058,0.14181818181818182,0.06805293005671077,0.03838771593090211,0.011976047904191617,0.02321083172147002,0.015533980582524271,0.03875968992248062,0.04961832061068702,0.06818181818181818,0.030828516377649325,0.07894736842105263,0.02321083172147002,0.015533980582524271,0.02321083172147002,0.06525911708253358,0.07532956685499058,0.02321083172147002,0.015594541910331383,0.03461538461538462,0.11439114391143912,0.16845878136200718,0.03461538461538462,0.0,0.04961832061068702,0.03838771593090211,0.047058823529411764,0.01937984496124031,0.02321083172147002,0.02702702702702703,0.1651705565529623,0.01937984496124031,0.14855072463768115,0.01680672268907563,0.46546546546546547,0.0,0.021834061135371178,0.051181102362204724,0.015533980582524271,0.14181818181818182,0.0421455938697318,0.10740740740740741,0.0,0.02702702702702703,0.03838771593090211,0.175,0.015533980582524271,0.09683426443202979,0.23488773747841105
1,0.03888888888888889,0.064,0.11206896551724138,0.08247422680412371,0.07317073170731707,0.07339449541284404,0.058823529411764705,0.12301587301587301,0.03669724770642202,0.03482587064676617,0.12554112554112554,0.04265402843601896,0.030456852791878174,0.043478260869565216,0.056795131845841784,0.04201680672268908,0.01556420233463035,0.0091324200913242,0.08839779005524862,0.031413612565445025,0.08163265306122448,0.0972972972972973,0.10185185185185185,0.03636363636363636,0.02622950819672131,0.020761245674740483,0.1016949152542373,0.03821656050955414,0.11428571428571428,0.05673758865248227,0.12627291242362526,0.04560260586319218,0.021739130434782608,0.10416666666666667,0.03088803088803089,0.24324324324324326,0.055248618784530384,0.04289544235924933,0.042440318302387266,0.023622047244094488,0.058823529411764705,0.08585858585858586,0.00823045267489712,0.05089058524173028,0.07088607594936709,0.12015503875968993,0.07079646017699115,0.21015761821366025,0.08080808080808081,0.05106382978723404,0.3633276740237691,0.1906474820143885,0.021052631578947368,0.5726256983240223,0.09482758620689655,0.0196078431372549,0.011142061281337047,0.03532008830022075,0.03669724770642202,0.02881844380403458,0.46546546546546547,0.017241379310344827,0.025,0.0392156862745098,0.2732049036777583,0.10676156583629894,0.009708737864077669,0.04794520547945205,0.017467248908296942,0.020833333333333332,0.03773584905660377,0.013793103448275862,0.056555269922879174,0.0364963503649635,0.01951219512195122,0.0,0.010582010582010581,0.11299435028248588,0.04145077720207254,0.05106382978723404,0.05389221556886228,0.0471976401179941,0.10309278350515463,0.041666666666666664,0.05305039787798409,0.08139534883720931,0.09885931558935361,0.028169014084507043,0.137291280148423,0.2542372881355932,0.16346153846153846,0.10027855153203342,0.043583535108958835,0.05263157894736842,0.028037383177570093,0.0,0.0,0.04961832061068702,0.0896358543417367,0.029850746268656716,0.08225108225108226,0.03496503496503497,0.05333333333333334,0.07207207207207207,0.1015625,0.07966457023060797,0.024793388429752067,0.020100502512562814,0.044226044226044224,0.14184397163120568,0.17972350230414746,0.05185185185185185,0.0380952380952381,0.06432748538011696,0.03690036900369004,0.07526881720430108,0.01892744479495268,0.016194331983805668,0.02510460251046025,0.1651705565529623,0.03690036900369004,0.20612813370473537,0.013071895424836602,0.471841704718417,0.03529411764705882,0.04838709677419355,0.0546875,0.028368794326241134,0.1417910447761194,0.07260726072607261,0.13114754098360656,0.02040816326530612,0.023529411764705882,0.047961630695443645,0.21052631578947367,0.0,0.10176991150442478,0.2361111111111111
2,0.10714285714285714,0.10945273631840796,0.14814814814814814,0.08235294117647059,0.11612903225806452,0.08,0.05714285714285714,0.16216216216216217,0.04152249134948097,0.045283018867924525,0.2,0.0622568093385214,0.056074766355140186,0.04597701149425287,0.07756232686980609,0.06201550387596899,0.05263157894736842,0.023346303501945526,0.12830188679245283,0.0881057268722467,0.058394160583941604,0.07174887892376682,0.11442786069651742,0.05660377358490566,0.034334763948497854,0.026490066225165563,0.12087912087912088,0.05343511450381679,0.05555555555555555,0.07692307692307693,0.18181818181818182,0.07643312101910828,0.040268456375838924,0.09016393442622951,0.09248554913294797,0.14705882352941177,0.07692307692307693,0.053231939163498096,0.07865168539325842,0.028985507246376812,0.07894736842105263,0.09836065573770492,0.06153846153846154,0.06382978723404255,0.09782608695652174,0.13445378151260504,0.1728395061728395,0.2087912087912088,0.07457627118644068,0.14705882352941177,0.3791304347826087,0.21267893660531698,0.018633540372670808,0.5726256983240223,0.22018348623853212,0.048,0.05581395348837209,0.05536332179930796,0.06369426751592357,0.05291005291005291,0.47112462006079026,0.013245033112582781,0.011904761904761904,0.057692307692307696,0.29770992366412213,0.12790697674418605,0.030612244897959183,0.05806451612903226,0.035211267605633804,0.04424778761061947,0.06578947368421052,0.031746031746031744,0.06896551724137931,0.07547169811320754,0.03529411764705882,0.125,0.0196078431372549,0.1939799331103679,0.07407407407407407,0.06962025316455696,0.07563025210084033,0.054474708171206226,0.10526315789473684,0.05825242718446602,0.0728744939271255,0.18867924528301888,0.07894736842105263,0.028708133971291867,0.16444444444444445,0.5070422535211268,0.19444444444444445,0.23841059602649006,0.06578947368421052,0.0379746835443038,0.056338028169014086,0.0,0.04294478527607362,0.06578947368421052,0.14814814814814814,0.05434782608695652,0.1046831955922865,0.04975124378109453,0.056338028169014086,0.0684931506849315,0.102803738317757,0.1198501872659176,0.03496503496503497,0.026755852842809364,0.07865168539325842,0.2683982683982684,0.25,0.04371584699453552,0.10526315789473684,0.11627906976744186,0.06666666666666667,0.06711409395973154,0.0213903743315508,0.042105263157894736,0.03125,0.19327731092436976,0.02888086642599278,0.321285140562249,0.04081632653061224,0.4700460829493088,0.026785714285714284,0.09523809523809523,0.0784313725490196,0.032,0.1583710407239819,0.1073170731707317,0.1509433962264151,0.018691588785046728,0.045112781954887216,0.03550295857988166,0.2395543175487465,0.01834862385321101,0.1362397820163488,0.29977628635346754
3,0.75,0.5,0.35555555555555557,0.32,0.6086956521739131,0.21052631578947367,0.38461538461538464,0.3883495145631068,0.36363636363636365,0.0,0.4421052631578947,0.425531914893617,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.3076923076923077,0.46153846153846156,0.3333333333333333,0.23529411764705882,0.36363636363636365,0.13333333333333333,0.22727272727272727,0.45454545454545453,0.18181818181818182,0.25,0.25,0.3137254901960784,0.16666666666666666,0.5454545454545454,0.5,0.509090909090909,0.10526315789473684,0.4,0.32432432432432434,0.2962962962962963,0.43243243243243246,0.3888888888888889,0.15384615384615385,0.24,0.18181818181818182,0.35294117647058826,0.36,0.6153846153846154,0.3125,0.30303030303030304,0.29333333333333333,0.5866666666666667,0.543046357615894,0.3888888888888889,0.5333333333333333,0.5595238095238095,0.35602094240837695,0.2222222222222222,0.6894075403949731,0.5128205128205128,0.0,0.2857142857142857,0.2857142857142857,0.42105263157894735,0.2,0.5811965811965812,0.0,0.14285714285714285,0.42857142857142855,0.37362637362637363,0.3103448275862069,0.10526315789473684,0.34782608695652173,0.0,0.4444444444444444,0.5,0.1,0.2222222222222222,0.0,0.34782608695652173,0.2222222222222222,0.0,0.5617977528089888,0.2857142857142857,0.3,0.3333333333333333,0.3,0.3466666666666667,0.2857142857142857,0.5,0.5833333333333334,0.17391304347826086,0.15384615384615385,0.4888888888888889,0.7555555555555555,0.42592592592592593,0.5573770491803278,0.45161290322580644,0.25,0.2857142857142857,0.25,0.43478260869565216,0.2692307692307692,0.4782608695652174,0.2,0.4225352112676056,0.4,0.7272727272727273,0.25,0.1111111111111111,0.25,0.2,0.0,0.21621621621621623,0.6341463414634146,0.46153846153846156,0.3157894736842105,0.5454545454545454,0.2564102564102564,0.16666666666666666,0.4444444444444444,0.16666666666666666,0.625,0.19047619047619047,0.39436619718309857,0.2222222222222222,0.7450980392156863,0.0,0.5320388349514563,0.0,0.3333333333333333,0.35714285714285715,0.2222222222222222,0.3357664233576642,0.5185185185185185,0.3595505617977528,0.2,0.2727272727272727,0.14285714285714285,0.43209876543209874,0.0,0.425,0.5775401069518716
