ablation_type,ablation_percentage,micro_f1,micro_f1_std,macro_f1,macro_f1_std,samples_f1,samples_f1_std,jaccard_samples,jaccard_samples_std,hamming_loss,hamming_loss_std,micro_accuracy,micro_accuracy_std,auroc,auroc_std,micro_f1_degradation,macro_f1_degradation,samples_f1_degradation,jaccard_samples_degradation,hamming_loss_degradation,micro_accuracy_degradation,auroc_degradation
MLP Ablation,0.1,0.44173836494526764,0.005947478098768834,0.32404179006575023,0.0066393349042105166,0.42953425536629597,0.00724178202064088,0.29939660355989217,0.0074078150376971925,0.054269831815990245,0.00271585627734862,0.026223091976516632,0.006791606045568359,0.8655612116877022,0.003244282730147362,-0.0035140473047673426,-0.010966706542814841,-0.007738752073652599,-0.007252618511050579,-0.0019853087155052573,-0.005088062622309198,-0.007321846530887521
MLP Ablation,0.2,0.42172726151454765,0.013667390512104406,0.30056303099761184,0.013297721345868568,0.4096566230023032,0.013732999161318624,0.2825979229850414,0.011369962001017824,0.057395274965257106,0.004318414219688101,0.023483365949119372,0.007322225805819846,0.8561755785131263,0.006434540749957856,-0.023525150735487332,-0.03444546561095324,-0.027616384437645358,-0.024051299085901368,0.001140134433761604,-0.007827788649706457,-0.01670747970546338
MLP Ablation,0.3,0.4069366840967776,0.01440107412307749,0.28093745938174963,0.018709622763963228,0.3963544970190217,0.013436824267511017,0.27095550946345104,0.011429498949850648,0.059881165092600476,0.006037825579070236,0.020743639921722113,0.007157660391047724,0.8486880066479815,0.007036308961875173,-0.0383157281532574,-0.054071037226815444,-0.04091851042092687,-0.03569371260749171,0.0036260245611049735,-0.010567514677103717,-0.024195051570608195
MLP Ablation,0.4,0.3873177867820591,0.017395734213029104,0.23941273229291898,0.022215680479775207,0.3715610628408128,0.02122169448321796,0.2511988141476844,0.016886235965081854,0.05806744377322102,0.006569905460557118,0.015459882583170253,0.009245870653569216,0.8310059397457262,0.010471621453793253,-0.0579346254679759,-0.09559576431564609,-0.06571194459913576,-0.05545040792325834,0.0018123032417255158,-0.015851272015655577,-0.04187711847286346
MLP Ablation,0.5,0.37737332334100687,0.015878452791169888,0.20895844288321846,0.024083457866956093,0.36009882638446133,0.011639198022382535,0.24133493442823917,0.008732242110505098,0.056672055361751614,0.0041213813892198485,0.011545988258317024,0.010208272102837285,0.8212802172392862,0.010776566675684739,-0.0678790889090281,-0.1260500537253466,-0.07717418105548723,-0.06531428764270358,0.00041691483025611126,-0.019765166340508806,-0.051602840979303455
MLP Ablation,0.6,0.3481437170490297,0.024211679729589822,0.17096242499203312,0.03143314103228953,0.3300991318982987,0.025193101916328103,0.21733459442495268,0.020236497647896486,0.0621812870472787,0.0090470772256543,0.010958904109589041,0.007999848514941104,0.809404907315358,0.009842192989402527,-0.09710869520100529,-0.16404607161653195,-0.10717387554164987,-0.08931462764599007,0.005926146515783194,-0.02035225048923679,-0.06347815090323172
MLP Ablation,0.7,0.3192241899492341,0.02351394972444185,0.1490214123211221,0.024502527575920266,0.30287584924599614,0.026650499429847097,0.19656027890186747,0.021092797010640815,0.06623982529283302,0.008838282536748746,0.008610567514677103,0.007448977129090774,0.7952070826986029,0.008776028193893596,-0.12602822230080085,-0.18598708428744298,-0.13439715819395243,-0.11008894316907528,0.009984684761337521,-0.022700587084148727,-0.07767597551998684
MLP Ablation,0.8,0.29080319252132597,0.012420140586380685,0.13289344287280175,0.021667930594960715,0.2763870495394483,0.015024481467135722,0.175888178196527,0.010980948208264688,0.07175047505601406,0.011385547677720079,0.0037181996086105675,0.005794238223405728,0.7816308889616314,0.009200639563869573,-0.154449219728709,-0.20211505373576333,-0.16088595790050025,-0.13076104387441576,0.01549533452451856,-0.027592954990215263,-0.09125216925695834
MLP Ablation,0.9,0.2673086864350158,0.018186471277225533,0.1272151445548942,0.020541883772539193,0.25690788627811384,0.014334591458850427,0.15983693086979694,0.011194415098185948,0.08377577356136022,0.013805301449963708,0.0019569471624266144,0.002917244589040821,0.7701144360368166,0.008134981911865968,-0.17794372581501916,-0.2077933520536709,-0.18036512116183473,-0.1468122912011458,0.027520633029864718,-0.029354207436399216,-0.10276862218177307
MLP Ablation,1.0,0.23714609286523217,0.0,0.11489285396988895,1.4628472785736255e-17,0.23096703858178408,0.0,0.14148409131535944,0.0,0.0955217107688817,0.0,0.0019569471624266144,0.0,0.7609464090165847,0.0,-0.2081063193848028,-0.2201156426386761,-0.2063059688581645,-0.1651651307555833,0.0392665702373862,-0.029354207436399216,-0.11193664920200497
Attention Ablation,0.1,0.43539930141537814,0.011908571894052013,0.3183656869852806,0.010494882755086088,0.4265214423683122,0.010404939025016244,0.296751542322489,0.009529158317353093,0.056971269746731334,0.004210044374812704,0.028180039138943246,0.00371304617632295,0.8666795708395011,0.003344290979465922,-0.009853110834656842,-0.01664280962328446,-0.010751565071636382,-0.009897679748453736,0.000716129215235832,-0.0031311154598825837,-0.006203487379088601
Attention Ablation,0.2,0.4260834235171071,0.012928269290295955,0.30108574808126043,0.011814925204870177,0.4149671954200406,0.012716332361946388,0.2865088722087005,0.011952130049764035,0.0564437448594685,0.0036967764066498762,0.02289628180039139,0.006122739741817255,0.8566951451737825,0.006254485667893064,-0.019168988732927883,-0.03392274852730465,-0.022305812019907945,-0.020140349862242224,0.00018860432797299792,-0.00841487279843444,-0.016187913044807156
